index,North,South,West,East,ND,SD,WD,ED
1,,2,8,,,3,3,
2,1,3,9,,3,3,3,
3,2,,10,,3,,3,
4,,5,11,,,3,3,
5,4,,12,,3,,3,
6,,7,13,,,3,3,
7,6,,,,3,,,
8,,,,1,,,,3
9,,,16,2,,,3,3
10,,,,3,,,,3
11,,,18,4,,,3,3
12,,13,,5,,3,,3
13,12,,,6,3,,,3
14,,,21,,,,3,
15,,,22,,,,3,
16,,17,,9,,3,,3
17,16,18,24,,3,3,3,
18,17,19,25,11,3,3,3,3
19,18,20,,,3,3,,
20,19,,27,,3,,3,
21,,,28,14,,,3,3
22,,23,,15,,3,,3
23,22,24,30,,3,3,3,
24,23,25,31,17,3,3,3,3
25,24,26,32,18,3,3,3,3
26,25,,,,3,,,
27,,28,,20,,3,,3
28,27,,35,21,3,,3,3
29,,30,36,,,3,3,
30,29,,,23,3,,,3
31,,,38,24,,,3,3
32,,,39,25,,,3,3
33,,34,,,,3,,
34,33,,41,,3,,3,
35,,,,28,,,,3
36,,,43,29,,,3,3
37,,38,,,,3,,
38,37,,,31,3,,,3
39,,,46,32,,,3,3
40,,,47,,,,3,
41,,42,,34,,3,,3
42,41,,49,,3,,3,
43,,44,50,36,,3,3,3
44,43,,51,,3,,3,
45,,,52,,,,3,
46,,47,53,39,,3,3,3
47,46,48,54,40,3,3,3,3
48,47,49,,,3,3,,
49,48,,56,42,3,,3,3
50,,51,,43,,3,,3
51,50,,,44,3,,,3
52,,53,,45,,3,,3
53,52,,,46,3,,,3
54,,55,,47,,3,,3
55,54,56,,,3,3,,
56,55,,,49,3,,,3
