index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,,9,,3,,3,
4,,,10,,,,3,
5,,6,11,,,3,3,
6,5,,,,3,,,
7,,8,13,,,3,3,
8,7,9,,2,3,3,,3
9,8,10,27,3,3,3,9,3
10,9,11,,4,3,3,,3
11,10,12,,5,3,3,,3
12,11,,18,,3,,3,
13,,14,19,7,,3,3,3
14,13,,,,3,,,
16,,18,22,,,6,3,
18,16,,24,12,6,,3,3
19,,,25,13,,,3,3
20,,,26,,,,3,
22,,,,16,,,,3
23,,24,,,,3,,
24,23,,30,18,3,,3,3
25,,,31,19,,,3,3
26,,27,32,20,,3,3,3
27,26,28,,9,3,3,,9
28,27,,34,,3,,3,
29,,30,35,,,3,3,
30,29,,,24,3,,,3
31,,32,37,25,,3,3,3
32,31,33,,26,3,3,,3
33,32,34,39,,3,3,3,
34,33,35,,28,3,3,,3
35,34,36,41,29,3,3,3,3
36,35,,,,3,,,
37,,38,,31,,3,,3
38,37,,44,,3,,3,
39,,,,33,,,,3
40,,41,46,,,3,3,
41,40,42,,35,3,3,,3
42,41,,48,,3,,3,
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,46,,,3,3,,
46,45,47,,40,3,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
